Date,Close,Buy,Sell,Open,High,Low
1963-09-06,  72.84,False,False,  72.84,  72.84,  72.84
1963-09-13,  73.17,False,False,  73.17,  73.17,  73.17
1963-09-20,  73.30,False,False,  73.30,  73.30,  73.30
1963-09-27,  72.13,False,False,  72.13,  72.13,  72.13
1963-10-04,  72.85,False,False,  72.85,  72.85,  72.85
1963-10-11,  72.27,False,False,  72.27,  72.27,  72.27
1963-10-18,  73.32,False,False,  73.32,  73.32,  73.32
1963-10-25,  74.01,False,False,  74.01,  74.01,  74.01
1963-11-01,  73.83,False,False,  73.83,  73.83,  73.83
1963-11-08,  73.36,False,False,  73.36,  73.36,  73.36
1963-11-15,  72.35,False,False,  72.35,  72.35,  72.35
1963-11-22,  69.61,False,False,  69.61,  69.61,  69.61
1963-11-29,  73.23,False,False,  73.23,  73.23,  73.23
1963-12-06,  74.00,False,False,  74.00,  74.00,  74.00
1963-12-13,  74.06,False,False,  74.06,  74.06,  74.06
1963-12-20,  74.28,False,False,  74.28,  74.28,  74.28
1963-12-27,  74.44,False,False,  74.44,  74.44,  74.44
1964-01-03,  75.50,False,False,  75.50,  75.50,  75.50
1964-01-10,  76.24,False,False,  76.24,  76.24,  76.24
1964-01-17,  76.56,False,False,  76.56,  76.56,  76.56
1964-01-24,  77.11,False,False,  77.11,  77.11,  77.11
1964-01-31,  77.04,False,False,  77.04,  77.04,  77.04
1964-02-07,  77.18,False,False,  77.18,  77.18,  77.18
1964-02-14,  77.48,False,False,  77.48,  77.48,  77.48
1964-02-20,  77.62,False,False,  77.62,  77.62,  77.62
1964-02-28,  77.80,False,False,  77.80,  77.80,  77.80
1964-03-06,  78.31,False,False,  78.31,  78.31,  78.31
1964-03-13,  79.14,False,False,  79.14,  79.14,  79.14
1964-03-20,  78.92,False,False,  78.92,  78.92,  78.92
1964-03-26,  79.19,False,False,  79.19,  79.19,  79.19
1964-04-03,  79.94,False,False,  79.94,  79.94,  79.94
1964-04-10,  79.85,False,False,  79.85,  79.85,  79.85
1964-04-17,  80.55,False,False,  80.55,  80.55,  80.55
1964-04-24,  79.75,False,False,  79.75,  79.75,  79.75
1964-05-01,  80.17,False,False,  80.17,  80.17,  80.17
1964-05-08,  81.00,False,False,  81.00,  81.00,  81.00
1964-05-15,  81.10,False,False,  81.10,  81.10,  81.10
1964-05-22,  80.73,False,False,  80.73,  80.73,  80.73
1964-05-28,  80.37,False,False,  80.37,  80.37,  80.37
1964-06-05,  79.02,False,False,  79.02,  79.02,  79.02
1964-06-12,  79.60,False,False,  79.60,  79.60,  79.60
1964-06-19,  80.89,False,False,  80.89,  80.89,  80.89
1964-06-26,  81.46,False,False,  81.46,  81.46,  81.46
1964-07-02,  82.60,False,False,  82.60,  82.60,  82.60
1964-07-10,  83.36,False,False,  83.36,  83.36,  83.36
1964-07-17,  84.01,False,False,  84.01,  84.01,  84.01
1964-07-24,  83.46,False,False,  83.46,  83.46,  83.46
1964-07-31,  83.18,False,False,  83.18,  83.18,  83.18
1964-08-07,  81.86,False,False,  81.86,  81.86,  81.86
1964-08-14,  82.35,False,False,  82.35,  82.35,  82.35
1964-08-21,  82.07,False,False,  82.07,  82.07,  82.07
1964-08-28,  81.99,False,False,  81.99,  81.99,  81.99
1964-09-04,  82.76,False,False,  82.76,  82.76,  82.76
1964-09-11,  83.45,False,False,  83.45,  83.45,  83.45
1964-09-18,  83.48,False,False,  83.48,  83.48,  83.48
1964-09-25,  84.21,False,False,  84.21,  84.21,  84.21
1964-10-02,  84.36,False,False,  84.36,  84.36,  84.36
1964-10-09,  85.22,False,False,  85.22,  85.22,  85.22
1964-10-16,  84.83,False,False,  84.83,  84.83,  84.83
1964-10-23,  85.14,False,False,  85.14,  85.14,  85.14
1964-10-30,  84.86,False,False,  84.86,  84.86,  84.86
1964-11-06,  85.23,False,False,  85.23,  85.23,  85.23
1964-11-13,  85.21,False,False,  85.21,  85.21,  85.21
1964-11-20,  86.28,False,False,  86.28,  86.28,  86.28
1964-11-27,  85.16,False,False,  85.16,  85.16,  85.16
1964-12-04,  84.35,False,False,  84.35,  84.35,  84.35
1964-12-11,  83.66,False,False,  83.66,  83.66,  83.66
1964-12-18,  84.29,False,False,  84.29,  84.29,  84.29
1964-12-24,  84.15,False,False,  84.15,  84.15,  84.15
1964-12-31,  84.75,False,False,  84.75,  84.75,  84.75
1965-01-08,  85.37,False,False,  85.37,  85.37,  85.37
1965-01-15,  86.21,False,False,  86.21,  86.21,  86.21
1965-01-22,  86.74,False,False,  86.74,  86.74,  86.74
1965-01-29,  87.56,False,False,  87.56,  87.56,  87.56
1965-02-05,  87.29,False,False,  87.29,  87.29,  87.29
1965-02-12,  86.17,False,False,  86.17,  86.17,  86.17
1965-02-19,  86.21,False,False,  86.21,  86.21,  86.21
1965-02-26,  87.43,False,False,  87.43,  87.43,  87.43
1965-03-05,  86.80,False,False,  86.80,  86.80,  86.80
1965-03-12,  87.21,False,False,  87.21,  87.21,  87.21
1965-03-19,  86.84,False,False,  86.84,  86.84,  86.84
1965-03-26,  86.20,False,False,  86.20,  86.20,  86.20
1965-04-02,  86.53,False,False,  86.53,  86.53,  86.53
1965-04-09,  87.56,False,False,  87.56,  87.56,  87.56
1965-04-15,  88.15,False,False,  88.15,  88.15,  88.15
1965-04-23,  88.88,False,False,  88.88,  88.88,  88.88
1965-04-30,  89.11,False,False,  89.11,  89.11,  89.11
1965-05-07,  89.85,False,False,  89.85,  89.85,  89.85
1965-05-14,  90.10,False,False,  90.10,  90.10,  90.10
1965-05-21,  88.75,False,False,  88.75,  88.75,  88.75
1965-05-28,  88.42,False,False,  88.42,  88.42,  88.42
1965-06-04,  87.11,False,False,  87.11,  87.11,  87.11
1965-06-11,  85.12,False,False,  85.12,  85.12,  85.12
1965-06-18,  85.34,False,False,  85.34,  85.34,  85.34
1965-06-25,  83.06,False,False,  83.06,  83.06,  83.06
1965-07-02,  85.16,False,False,  85.16,  85.16,  85.16
1965-07-09,  85.71,False,False,  85.71,  85.71,  85.71
1965-07-16,  85.69,False,False,  85.69,  85.69,  85.69
1965-07-23,  84.07,False,False,  84.07,  84.07,  84.07
1965-07-30,  85.25,False,False,  85.25,  85.25,  85.25
